"method";"driver_genes";"positives";"precision";"recall";"f1_"
"M2020+";118;197;0.598984771573604;0.163208852005533;0.256521739130435
"TUSON";94;194;0.484536082474227;0.130013831258645;0.205016357688113
"MutsigCV";78;158;0.493670886075949;0.107883817427386;0.177071509648127
"oncodriveFM";227;2600;0.0873076923076923;0.313969571230982;0.136623532952152
"OncodriveClust";68;586;0.116040955631399;0.0940525587828492;0.103896103896104
"OncodriveFML";126;680;0.185294117647059;0.174273858921162;0.179615110477548
"ActiveDriver";62;417;0.148681055155875;0.0857538035961272;0.108771929824561
"MuSiC";210;1975;0.106329113924051;0.29045643153527;0.155670867309118
