"obs";"pred"
"0";0.79089803830908
"1";0.368312072820597
"1";0.30977346529979
"0";0.918422300393156
"0";0.464477367661348
"0";0.763106930614988
"0";0.505283907094225
"0";0.888327301375859
"1";0.847252837289062
"1";0.177881122148654
"0";0.605595760449412
"1";0.910244012725356
"0";0.728704790942798
"0";0.479685061017374
"0";0.709764207407087
"1";0.537904270259464
"0";0.441416266962984
"0";0.872669454115451
"0";0.689500212755231
"0";0.823645097076208
"0";0.67292979619719
"1";0.831247602687725
"0";0.71843616528138
"0";0.506225253873771
"0";0.777887077595784
"0";0.759052099825956
"1";0.437360939531222
"1";0.319232636859287
"1";0.114660204579951
"0";0.632580329782513
"0";0.592965698300956
"1";0.36543351484005
"0";0.794690652422699
"0";0.824976193106725
"0";0.800627615270062
"1";0.0571601818325144
"0";0.765168780550169
"0";0.692637669058384
"0";0.787951712072869
"1";0.666449662377426
"0";0.600718009111865
"0";0.689648857696663
"1";0.622494205504285
"0";0.670205095858332
"0";0.707200798830592
"0";0.714812251938926
"0";0.645373888388644
"0";0.587881052334761
"0";0.724706948643092
"0";0.641703349313629
"0";0.841531057564479
"0";0.623037633022357
"0";0.667716627082449
"0";0.485084565264212
"0";0.666850926232845
"0";0.789672891833749
"0";0.793777769104404
"0";0.595047795824047
"0";0.55371147804754
"1";0.402814456828913
"1";0.473146409417151
"0";0.801164207173861
"0";0.894734132601597
"0";0.921127862243624
"0";0.823930087109391
"0";0.857296298217982
"1";0.492440467348272
"1";0.396061978615513
"0";0.822811459674518
"1";0.250949445157363
"0";0.681546529081671
"0";0.695339640343151
"0";0.832140873374629
"0";0.664334772324658
"0";0.630311664312586
"0";0.61451107536079
"0";0.418143470229837
"0";0.924924920591281
"0";0.697991337138547
"0";0.672157880977044
"0";0.864078220554277
"0";0.521768855784415
"1";0.337954062558326
"1";0.628152629544154
"1";0.814560416052744
"0";0.546009253975771
"0";0.751600498787572
"0";0.861528682868628
"0";0.62143675485901
"1";0.224308788728363
"0";0.777536569082233
"1";0.119256101099671
"1";0.682554000115891
"0";0.832430878430756
"0";0.668126900734731
"0";0.6943419044944
"1";0.438940080604812
"0";0.933860330146596
"0";0.73743104696516
"0";0.566122857507845
"0";0.556995698005884
"0";0.576299593910213
"1";0.245823767713137
"0";0.698520251013091
"0";0.77017002725954
"0";0.849005959035686
"0";0.780342086869313
"0";0.590999543695337
"1";0.0951089355200891
"1";0.911568593615637
"0";0.874697534160894
"1";0.551419268657003
"0";0.804760110121515
"0";0.791806329694826
"1";0.280202445620033
"0";0.53508593643537
"0";0.58383803894208
"0";0.685970563503287
"0";0.823591148282824
"0";0.851089155378691
"1";0.376553811693338
"0";0.746801918704743
"1";0.813556989103266
"0";0.7516340083976
"0";0.768948929491239
"1";0.535107712993799
"1";0.285942179510869
"0";0.606888360756685
"1";0.597257450851678
"0";0.687976433597172
"0";0.787345788222692
"1";0.197254765741804
"1";0.550566717535831
"0";0.764622228938196
"0";0.945912789306503
"0";0.736033199663019
"0";0.852529846511566
"0";0.87808530082818
"1";0.564940539308577
"1";0.208723772220358
"0";0.640517209976827
"0";0.830670304765641
"0";0.512909581869582
"0";0.784515292571087
"1";0.44722553510815
"1";0.494806344513803
"1";0.616842583806902
"1";0.248783785281839
"0";0.864432105718105
"0";0.852534055455961
"1";0.425568695531448
"0";0.297489670761726
"1";0.461679046553424
"0";0.83093886892003
"0";0.748951391488256
"0";0.48572935642075
"1";0.250267098621905
"0";0.867888567871065
"0";0.891765252243043
"0";0.831916554285419
"0";0.803391164046969
"1";0.661384699705252
"0";0.871611046209184
"0";0.728610741992448
"1";0.531590346502428
"0";0.77896849718424
"1";0.718145502188549
"0";0.674445591959537
"1";0.640383483981229
"0";0.522287391121602
"1";0.249253012205557
"0";0.62677163044788
"1";0.619371036171917
"1";0.51127787537781
"0";0.57458292428279
"1";0.200822585910336
"0";0.784945113831232
"1";0.522473585450483
"1";0.160207832615531
"0";0.764784510395373
"0";0.76222146618056
"0";0.684962117163935
"1";0.601893446615448
"0";0.677469111399188
"1";0.493942346129634
"1";0.651425427284103
"1";0.536749146429774
"1";0.508928151331597
"1";0.522567233072588
"1";0.653203913010254
"1";0.402046998024215
"0";0.75799895682137
"0";0.857458605499775
"1";0.601433886370188
"0";0.750272202688028
"0";0.583545765226856
"1";0.0708499463666141
"1";0.583748283119478
"0";0.790076571357581
"0";0.369246504431593
"0";0.834852200363709
"0";0.762068864049404
"0";0.909671635151928
"0";0.7032651920621
"0";0.506380648226021
"1";0.672873982831707
"0";0.884835465617519
"0";0.820551011847951
"0";0.696250736611271
"1";0.619462349218827
"0";0.746983552944391
"0";0.748203120706326
"0";0.697359393731782
"0";0.65364348035988
"0";0.843818626221155
"0";0.70090405415934
"1";0.667433086078372
"0";0.545850840137994
"0";0.678885179789056
"0";0.905296472862241
"0";0.809390996105699
"0";0.85634290556613
"0";0.44128701083218
"0";0.780413542969317
"0";0.812700438183732
"0";0.802083249055994
"0";0.915303761698809
"0";0.683130670195413
"0";0.629113452846314
"0";0.679324522253049
"0";0.685125150552181
"1";0.680328296407378
